Compare,Bi,Conv,GRU_Att_1,GRU_Att_2,GRU_Att_3,GRU_Att_4,GRU_Linear,GRU_Reference,GRU_Third,GRU_Twice,LSTM_Linear,LSTM_Reference,LSTM_Third,LSTM_Twice,RNN_Linear,RNN_Reference,RNN_Third,RNN_Twice,UniTS
Bi,1.0,11.0,23.0,121.0,50.0,73.0,1.0,3.0,0.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,93.0
Conv,11.0,1.0,48.0,24.0,38.0,27.0,54.0,54.0,64.0,64.0,55.0,55.0,57.0,51.0,55.0,53.0,49.0,103.0,7.0
GRU_Att_1,23.0,48.0,1.0,4.0,104.0,41.0,127.0,134.0,124.0,130.0,130.0,144.0,134.0,141.0,133.0,132.0,139.0,66.0,0.0
GRU_Att_2,121.0,24.0,4.0,1.0,45.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
GRU_Att_3,50.0,38.0,104.0,45.0,1.0,117.0,46.0,49.0,33.0,28.0,41.0,40.0,47.0,55.0,37.0,32.0,41.0,25.0,0.0
GRU_Att_4,73.0,27.0,41.0,66.0,117.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
GRU_Linear,1.0,54.0,127.0,0.0,46.0,0.0,1.0,138.0,104.0,138.0,133.0,146.0,152.0,110.0,131.0,150.0,147.0,90.0,0.0
GRU_Reference,3.0,54.0,134.0,0.0,49.0,0.0,138.0,1.0,90.0,124.0,134.0,151.0,143.0,122.0,127.0,153.0,144.0,67.0,0.0
GRU_Third,0.0,64.0,124.0,0.0,33.0,0.0,104.0,90.0,1.0,122.0,101.0,109.0,129.0,78.0,130.0,120.0,113.0,86.0,0.0
GRU_Twice,4.0,64.0,130.0,0.0,28.0,0.0,138.0,124.0,122.0,1.0,154.0,147.0,143.0,102.0,151.0,143.0,150.0,77.0,0.0
LSTM_Linear,1.0,55.0,130.0,0.0,41.0,0.0,133.0,134.0,101.0,154.0,1.0,135.0,134.0,88.0,136.0,154.0,154.0,81.0,0.0
LSTM_Reference,3.0,55.0,144.0,0.0,40.0,0.0,146.0,151.0,109.0,147.0,135.0,1.0,149.0,110.0,127.0,150.0,160.0,69.0,0.0
LSTM_Third,3.0,57.0,134.0,0.0,47.0,0.0,152.0,143.0,129.0,143.0,134.0,149.0,1.0,119.0,137.0,149.0,151.0,75.0,0.0
LSTM_Twice,3.0,51.0,141.0,0.0,55.0,1.0,110.0,122.0,78.0,102.0,88.0,110.0,119.0,1.0,104.0,107.0,114.0,59.0,0.0
RNN_Linear,3.0,55.0,133.0,0.0,37.0,0.0,131.0,127.0,130.0,151.0,136.0,127.0,137.0,104.0,1.0,138.0,161.0,70.0,0.0
RNN_Reference,3.0,53.0,132.0,0.0,32.0,0.0,150.0,153.0,120.0,143.0,154.0,150.0,149.0,107.0,138.0,1.0,151.0,80.0,0.0
RNN_Third,3.0,49.0,139.0,0.0,41.0,0.0,147.0,144.0,113.0,150.0,154.0,160.0,151.0,114.0,161.0,151.0,1.0,69.0,0.0
RNN_Twice,0.0,103.0,66.0,0.0,25.0,0.0,90.0,67.0,86.0,77.0,81.0,69.0,75.0,59.0,70.0,80.0,69.0,1.0,0.0
UniTS,93.0,7.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
