Compare,Bi,Conv,GRU_Att_1,GRU_Att_2,GRU_Att_3,GRU_Att_4,GRU_Linear,GRU_Reference,GRU_Third,GRU_Twice,LSTM_Linear,LSTM_Reference,LSTM_Third,LSTM_Twice,RNN_Linear,RNN_Reference,RNN_Third,RNN_Twice,UniTS
Bi,1.0,0.1817298531532287,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,0.4907859563827514,8.344650268554688e-07,8.344650268554688e-07,8.344650268554688e-07,0.0451226830482482,5.960464477539062e-07,8.344650268554688e-07,8.344650268554688e-07,0.3387878537178039,8.344650268554688e-07,8.344650268554688e-07,8.344650268554688e-07,5.960464477539064e-08
Conv,0.1817298531532287,1.0,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,0.7509929537773132,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,0.1409152150154113,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,0.6338268518447876,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,5.960464477539064e-08
GRU_Att_1,5.960464477539064e-08,5.960464477539064e-08,1.0,0.4261419773101806,0.4261419773101806,0.3809836506843567,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08
GRU_Att_2,5.960464477539064e-08,5.960464477539064e-08,0.4261419773101806,1.0,0.0550704598426818,0.5249125957489014,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08
GRU_Att_3,5.960464477539064e-08,5.960464477539064e-08,0.4261419773101806,0.0550704598426818,1.0,0.0202749371528625,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08
GRU_Att_4,5.960464477539064e-08,5.960464477539064e-08,0.3809836506843567,0.5249125957489014,0.0202749371528625,1.0,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08
GRU_Linear,0.4907859563827514,0.7509929537773132,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,1.0,2.980232238769531e-07,2.980232238769531e-07,2.980232238769531e-07,0.1563382148742675,2.980232238769531e-07,2.980232238769531e-07,2.980232238769531e-07,0.9158032536506652,2.980232238769531e-07,2.980232238769531e-07,2.980232238769531e-07,5.960464477539064e-08
GRU_Reference,8.344650268554688e-07,1.1920928955078125e-07,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,2.980232238769531e-07,1.0,0.1728483491354262,0.1240427930900948,1.1920928955078125e-07,0.3341793830599732,0.0087746330601011,0.0735939238114404,5.960464477539064e-08,0.6791156892928161,0.0071324136993952,0.0640301484330232,5.960464477539064e-08
GRU_Third,8.344650268554688e-07,1.1920928955078125e-07,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,2.980232238769531e-07,0.1728483491354262,1.0,0.9593536340401636,1.1920928955078125e-07,0.8752816637780582,0.4838398513935682,0.2367235706378573,5.960464477539064e-08,0.0994808807563644,0.0463994618709045,0.5001842570707944,5.960464477539064e-08
GRU_Twice,8.344650268554688e-07,1.1920928955078125e-07,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,5.960464477539064e-08,2.980232238769531e-07,0.1240427930900948,0.9593536340401636,1.0,1.1920928955078125e-07,0.2207851473301283,0.0687035743228782,0.3139380937749148,5.960464477539064e-08,0.3465217117061072,0.0499499764547464,0.2367235706378573,5.960464477539064e-08
